제목,등록일,조회수,링크,본문
2025년 제12차 증권선물위원회 불공정거래 위반 조치 의결,2025-08-14,14141,https://fsc.go.kr/no070200/85137?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제12차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제161호 OOOOO㈜ 주식에 대한 미공개중요정보 이용행위 금지 위반 등 조치안 (수정의결)
-
혐의자는 ㈜□□□□□의 대표이사로서 ○○○○○㈜의 대표이사의 직무를 수행하는 과정에서 ‘○○○○○㈜의 ㈜△△△△△△△의 전환사채 취득’이라는 미공개 중요정보를 지득한 후, 정보가 공개되기 전 ㈜□□□□□ 명의 계좌를 이용하여 동사 주식에 대한 매수호가를 813,612주  제출하고 659,016주(2,686,828,725원)를 체결, 199,662,077원의 부당이득을  취득한 혐의
ㅁ 의결안건 제162호 ㈜OOOO 주식에 대한 미공개중요정보 이용 금지 위반 조치안 (원안의결)
-
’24. 7. 12. 재무담당 임원에게 자금계획을 보고하는 과정에서 회사의 자기주식 취득 결정 정보를 지득한 후, 배우자 명의의증권계좌를 신규로 개설하고 이용하여 동사 주식을 매수한혐의가 있음
ㅁ 의결안건 제163호 SNS를 활용한 385개사 주식에 대한 부정거래행위 금지 위반 조치안(원안의결)
-
▲▲▲은 본인 및 차명 계좌를 이용하여 주식을 선행매매한 후, SNS 대화방에서 종목 추천을 하면서매수세를 유인하고 이로 인해 주가가 상승하면 즉시 매도하여 차익실현하는 방식으로 부정거래행위를 한 혐의가 있음
* 의결안건 제161~163호는 비공개안건으로 안건은 비공개"
2025년 제11차 증권선물위원회 불공정거래 위반 조치 의결,2025-08-01,10507,https://fsc.go.kr/no070200/85515?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제11차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제152호 지브이에이자산운용㈜ 등 3개 대상자의 공매도 순보유잔고 보고의무 위반 조치안(원안의결)
-
지브이에이자산운용㈜는 2020.8.5. 및 2024.8.22. 총 2일, 5개종목에 대해 순보유잔고 보고의무가 발생하였음에도 기한 내에 보고하지 아니하고 지연보고한 사실이 있음"
2025년 제10차 증권선물위원회 불공정거래 위반 조치 의결,2025-07-18,13949,https://fsc.go.kr/no070200/85138?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제10차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제128호 ㈜OOO 주식에 대한 부정거래행위 금지 위반 등 조치안(원안의결)
-
▨▨▨, ◍◍◍, ☆☆☆은 ㈜○○○과 ㈜◇◇◇◇◇◇◇◇◇가 추진하는 필리핀 희토류 개발사업을 수행하는 과정에서 채굴기업이 핵심 광물 채굴권 등의 권한을 보유하고 있지 않았고, 본건 사업을추진할만한 여건이나 의사를 갖추지 못한 상황에서도, 채굴권 확보와 매출 기대 등 합리적 근거가 없는 내용을 기사화되도록 하는 등 부정거래행위 혐의가 있음
ㅁ 의결안건 제129호 ㈜OOOOO 주식에 대한 미공
개정보 이용행위 금지 위반 조치안(원안의결)
-
◇◇◇◇◇의 ◆◆◆◆◆ ◆◆◆ ◆◆ 임상◆상 결과 정보와 ****회
계
연
도
감
사
의
견
정
보
에
대
하
여
조
치
대
상
임
직
원
들
은
내
부
자
로
서
직
무
상
동
정
보
를
지
득
하
여
이
용
하
거
나
정
보
를
전
달
하
여
정
보
수
령
자
가
이
를
이
용
하
게
한
혐
의
가
있
으
며
,
그
외
조
치
대
상
자
들
은
정
보
수
령
자
로
서
내
부
자
로
부
터
정
보
를
전
달
받
아
지
득
하
고
,
이
를
이
용
한
혐
의
가
있음
* 의결안건 제128~129호는 비공개안건으로 안건은 비공개"
2025년 제9차 증권선물위원회 불공정거래 위반 조치 의결,2025-07-04,13840,https://fsc.go.kr/no070200/85139?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제9차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제123호 ㈜OO
O
O
O
주식에 대한 부정거래행위 금지 위반 등 조치안(원안의결)
-
□□□ 등 혐의자는 상장적격성 실질심사 대상 및 관리종목 지정을 회피할 목적으로 유상증자 및 타법인 주식 취득 과정에서 중요사항에 대해 거짓 기재를 하거나 위계를 사용하여 일반투자자를 기망하고, 부정한 수단, 계획, 기교를 사용하는 등 부정거래행위를 한 혐의가 있음
* 의결안건 제123호는 비공개안건으로 안건은 비공개"
2025년 제8차 증권선물위원회 불공정거래 위반 조치 의결,2025-06-20,13926,https://fsc.go.kr/no070200/85140?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제8차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제103호 TFS 등 2개사의 공매도 규제 위반 조치안 (원안의결)
-
Timefolio Asset Management Singapore은 ’21.1.12. SK하이닉스㈜ 주식을 소유하고 있지 않은 상태에서 1,127주(143,129,000원)에 대한 무차입 공매도 주문을 제출한 사실이 있음
-
PM Capital Limited는 ’20.7.27. ㈜아모레퍼시픽 주식을 소유하고 있지 않은 상태에서 9주(1,485,000원)에 대한 무차입 공매도 주문을 제출한 사실이 있음
ㅁ 의결안건 제109호 ㈜OOO
O
주식에 대한 부정거래행위 금지 위반 등 조치안(원안의결)
-
혐의자들은 담보로 제공된 주식의 반대매매를 방지하고, 주가 부양으로 주식을 매도하여 유상증자 자금을 확보하는 한편, 보유 주식을 고가에 매도하여 이익을 실현할 목적으로 상호 공모하여 ◑◑◑◑㈜은 우크라이나 재건사업을 추진할 의사와 능력이 모두 없는 상황이었음에도 ‘우크라이나 재건을 위한 국제 콘퍼런스’가 개최되는 것을 기회로 이용하여, 우크라이나 지방정부 등과 형식적인 MOU를 반복적으로 체결하고 동 사실 등을 허위․과장하여 홍보하는 보도자료를 계속 배포하는 등 부정한 수단·계획·기교를 사용함
* 의결안건 제109호는 비공개안건으로 안건은 비공개"
2025년 제7차 증권선물위원회 불공정거래 위반 조치 의결,2025-06-05,13812,https://fsc.go.kr/no070200/85141?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제7차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ 의결안건 제93호 OOO
O
O
O
주식에 대한 미공개정보 이용행위 금지 위반 조치안(원안의결)
- ◆◆◆은 ㈜○○○○○○의 사실상 임원이었던 자로, ㈜▥▥▥▥(실질사주 □□□)에 대한 본인의 연대보증 채무이행 상황을 모면하고, 전환사채 매매계약의 일환으로 지급한 금원을 회수하기 위해, 본인의 배임 혐의 관련 구속·기소 사실을 □□□에게 전달하여 ㈜○○○○○○ 주식의 매매에이용하게 한 혐의가 있음
* 의결안건 제109호는 비공개안건으로 안건은 비공개"
2025년 제5차 증권선물위원회 불공정거래 위반 조치 의결,2025-05-09,13819,https://fsc.go.kr/no070200/85142?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제5차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제69호 Societe Generale S.A.의 공매도 규제 위반 조치안 (원안의결)
-
Societe Generale S.A.는 2021.10.12.～2022.12.23. 기간 중 HD현대에너지솔루션㈜ 등 3개사 주식을 소유하고 있지 않은 상태에서 27,784주 (2,550,218,750원)에 대한 무차입 공매도 주문을 제출한 사실이 있음
ㅁ
의결안건 제70호 OOO㈜ 주식에 대한 부정거래행위 금지 위반 등 조치안 (원안의결)
- ○○○㈜ 최대주주 겸 대표이사 ●●●는 동사 고문 ◎◎◎와 공모하여 ○○○㈜ 주가를 부양할 목적 등으로 허위 보도자료 유포 등 일련의 부정한 수단, 계획 또는 기교*를 사용한 혐의가 있음
* 신사업 진출, 대규모 자금 조달 및 해외 합작법인 설립 등 외관 형성
* 의결안건 제70호는 비공개안건으로 안건은 비공개"
2025년 제4차 증권선물위원회 불공정거래 위반 조치 의결,2025-04-25,9004,https://fsc.go.kr/no070200/85143?srchCtgry=&curPage=3&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제4차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제58호 ㈜OOOO 주식에 대한 시세조종행위 금지 위반 등 조치안 (원안의결)
- △△△과 ▲▲▲ 및 ★★★, ☆☆☆는 계좌 중개인으로부터 증권계좌와 투자금을 제공받아 운용하면서, 서로 공모하여 시세차익을 얻기 위하여 14인 명의의 14개 계좌를 이용하여 ㈜○○○○ 주식을 매매하는 과정에서 타인으로 하여금 매매를 유인하거나 매매가 성황을 이루고 있는 듯이 잘못 알게 할 목적으로 총 85,344회(2,388,667주)의 시세조종 주문을 제출
ㅁ
의결안건 제59호 MERRILL LYNCH INTERNATIONAL의 공매도 규제 위반 조치안 (수정의결)
- MERRILL LYNCH INTERNATIONAL(이하 ‘MLI’)는 ’21.6.21 ~ ’22.9.16. 기간 중 본인이 소유하지 않은 HMM 등 15개사 주식 572,012주(211억 5,798만원)에 대한 매도주문을 제출
- MLI는 ’20.3.5. ~ ’22.6.16. 기간 중 본인이 소유하지 않은 위메이드 등 6개사 주식 78,746주(15억원)에 대한 매도주문을 제출
* 의결안건 제58호는 비공개안건으로 안건은 비공개"
2025년 제3차 증권선물위원회 불공정거래 위반 조치 의결,2025-04-11,5986,https://fsc.go.kr/no070200/85144?srchCtgry=&curPage=4&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제3차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제43호 ○○○○㈜ 주식에 대한 시세조종행위 금지 위반 조치안 (원안의결)
- ◆◆◆은 □□□, ★★, ◉◉◉, ◈◈◈과 공모하여 11개 계좌를 통해 ○○○○㈜ 주식을 매매하는 과정에서, 총 1,171회의 시세조종 주문을 제출하여 인위적으로 주가를 고정시키거나 주가 하락을 방어한 혐의가 있음
ㅁ
의결안건 제45호 ○○○○㈜ 주식에 대한 부정거래행위 금지 위반 등 조치안 (수정의결)
- ●●● 등 6인은 ♣♣♣♣♣♣ ♔♔♔♔의 ◉◉◉ 인수를 위한 자금조달이 어려울 것으로 예상되자, 인수 자금을 위해 ○○○○㈜주식 669만주(53%)를 최대주주 ☆☆☆ 등 4인 등으로부터 공동 취득하여 경영권을 확보하고, ◉◉◉ 인수가 무산된 후 주가가 급락하자, 허위의 우주항공사업 및 대규모 자금조달 추진을 공시하면서 허위·과장된 보도자료를 배포하여 주가를 인위적으로 상승시킨 혐의가 있음
ㅁ
의결안건 제46호 Nomura International plc의 공매도 규제 위반 조치안 (수정의결)
-
Nomura International plc 는 2021.5.6. ～ 2023.11.23. 기간 중 ㈜아모레퍼시픽 등 74개사 주식을 소유하고 있지 않은 상태에서 1,609,138주(1,260억 4,444만원)에 대한 무차입공매도 주문을 제출한사실이 있음
ㅁ
의
결안건 제47호 JP Morgan Securities PLC의 공매도 규제 위반 조치안 (수정의결)
- JP Morgan Securities PLC는 21.11.15. ~ 21.12.06. 기간 중 본인이 소유하지 않은 ㈜셀트리온헬스케어 주식 등 5개사 주식 260,437주(143억 7,818만원)에 대한 매도주문을 제출한 혐의가 있음
ㅁ
의결안건 제48호 UBS AG의 공매도 규제 위반 조치안 (수정의결)
- UBS AG는 2021.5.4.~2023.11.2. 기간 중 ㈜셀트리온 등 19개사주식을 소유하고 있지 않은 상태에서 862,070주(334억 2,414만원)를매도 주문한 사실이 있음
ㅁ
의결안건 제49호 Morgan Stanley & Co. International PLC의 공매도 규제 위반 조치안 (수정의결)
- Morgan Stanley&CO. International PLC는 ’21.5.6.～’23.11.15. 기간 중 본인이 소유하지 아니한 ㈜심텍 등 31개사 주식 458,698주(176억 374만원)를 매도 주문한 사실이 있음
ㅁ
의결안건 제50호 ○○○○○ ○○ 등의 부정거래행위 관련 조치안 (원안의결)
- ☆☆☆ 등 14인은 주가 변동성이 큰 시장 관심주를 미리 선정하여 단시간내 선매수하고, 동 종목에 대한 호재성 기사를 직접 작성･ 보도한 후 매수세가 유입되어 주가가 상승하면 높은 가격에 매도하는 방식으로 부정거래행위를 한 혐의가 있음
ㅁ
의결안건 제312(2024)호 ○○○○㈜ 주식에 대한 미공개중요정보 이용 금지 위반 조치안 (원안의결)
- ㈜△△△ 대표이사 ○○○은 계열사인 ●●●●㈜사장으로 주간회의에서 ●●●●㈜의 ▲▲▲▲ COVID19 치료제 국내임상 2상 시험결과 ‘주평가지표의 유효성 목표 미충족’이라는 정보를 지득하고, 미공개정보를 이용하여 ㈜△△△가 소유한 ●●●●㈜주식 200만주의 블록딜 매도 중개위임 계약을 체결하고, 다음 날블록딜을 실행하여 369.2억원의 손실을 회피한 혐의가 있음
* 의결안건 제43, 45, 50호 및 제312(2024)호는 비공개안건으로 안건은 비공개"
2025년 제2차 증권선물위원회 불공정거래 위반 조치 의결,2025-03-21,2356,https://fsc.go.kr/no070200/85145?srchCtgry=&curPage=4&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제2차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제29호 SNS를 활용한 10개사 주식에 대한 부정거래행위 금지 위반 조치안 (원안의결)
- A○○ 등 4인은 카카오톡 오픈채팅방을 운영하면서 미리 매수한 종목을 동 채팅방에서 추천하여 채팅방 이용자 등의 매수세를 유도한 후 높은 가격에 매도하여 매매차익을 얻을 목적으로, ㈜☆☆☆☆ 등 10개 종목을 선행매매한 후 오픈채팅방 종목 추천을 통해 매수세를 유인하고, 이로 인해 주가가 상승하면 매도하여 차익 실현하는 등 총 35건의 부정거래행위를 한 혐의가 있음
ㅁ
의결안건 제31호 OOOOOO 등 6개사 주식에 대한 미공개정보 이용행위 금지 위반 조치안 (원안의결)
- ●●●과 ◆◆◆은 법무법인 ◇◇ 전산실 직원으로, 동사 문서관리시스템 등을 통해 공개매수 실시, 유상증자 결정, 주식양수도계약 체결 등 정보를 직무상 지득하고, 동 정보가 공개되기 전 본인 및 배우자 등 차명계좌를 통해 ○○○○○○㈜등 5개 종목 주식을 매수한 혐의가 있는 등 조치대상자 9인은 미공개정보 이용행위 금지 위반 혐의가 있음
ㅁ
의결안건 제32호 OOOOOOO 주식에 대한 미공개정보 이용행위 금지 위반 조치안 (원안의결)
- ◆◆은 ○○○○○○○㈜와 위촉 계약을 체결하고 있는 의료관리자로서동사에 대한 ‘경찰 압수·수색 정보’를 직무상 지득하고, 동 정보가 공개되기 전 본인 명의 계좌를 통해 보유중이던 동사 주식을 매도하여 손실을 회피한 혐의가 있음
- □□□는 ○○○○○○○㈜ 선임연구원으로서 동사에 대한 ‘경찰 압수·수색 정보’를 직무상 지득하고, 동 정보가 공개되기 전 본인 명의 계좌를 통해 보유중이던 동사 주식을 매도하여 손실을 회피한 혐의가 있음
ㅁ
의결안건 제33호 Macquarie Bank Limited의 공매도 규제 위반 조치안 (원안의결)
-
Macquarie Bank Limited는 ’21.10.12. 본인이 소유하지 않은 POSCO홀딩스㈜ 1,000주를 매도 주문하고, ’23.10.5. 본인이 소유하지않은 롯데에너지머티리얼즈㈜ 8,945주를 매도 주문한 사실이 있음
* 의결안건 제29~32호는 비공개안건으로 안건은 비공개"
2025년 제1차 증권선물위원회 불공정거래 위반 조치 의결,2025-03-07,1466,https://fsc.go.kr/no070200/85146?srchCtgry=&curPage=4&srchKey=&srchText=&srchBeginDt=&srchEndDt=,"[2025년 제1차 증권선물위원회 불공정거래 조치 의결 목록 및 주요내용]
ㅁ
의결안건 제8호 정치테마주 풍문유포에 대한 부정거래행위 금지 위반 조치안 (원안의결)
- ◈◈◈은 제22대 총선을 앞두고 정치테마주의 주가 변동성이 확대되자 ㈜○○ 등 15개 종목을 부각시켜 매매차익을 얻기 위하여, 116,430주를 매매하는 과정에서, 대선테마로 강조하는 합리적 근거가 없는 글을 총 76차례에 걸쳐 게시·유포하고, 게시한 직후 주가가 상승하자 사전 매집한 주식을 전량 처분하여 차익을 실현하였음
ㅁ
의결안건 제16호 OOOOO 주식에 대한 미공개정보 이용행위 금지 위반 조치안 (원안의결)
- ●●●은 ㈜○○○○○의 대표이사로서 ㈜○○○○○의 신규사업 투자자금 조달을 위한 “전환사채권 발행 결정” 정보를 직무상 지득하고, 동 정보가 공개되기 전 투자를 같이 해온 지인 □□□에게 동 정보를 전달하여 매매에 이용하게 한 혐의가 있음
ㅁ
의결안건 제17호 OOOO 주식에 대한 부정거래행위 금지 위반 등 조치안 (원안의결)
- ●●●과 ◆◆◆은 및 거래상대방과 협의하여 ◎◎◎ 인수 대가로 지급한 전환사채중 일부를 개인적으로 수취하는 한편, 신사업 진출을 위한 지분 투자 금액을 거짓으로 과다하게 기재하는 등 호재성 정보를 공시하고 허위·과장된 보도자료를 배포하는 등 부정거래행위 혐의가 있음
ㅁ
의결안건 제18호 Segantii Capital Management Limited의 공매도 규제 위반 조치안 (원안의결)
-
Segantii Capital Management Limited는 2023.7.26. 동사에서 운용하는 펀드인 The Segantii Asia-Pacific Equity Multi-S 펀드가 소유하지 않은 삼성전자㈜ 주식 65,629주(45억 6,037만원)에 대한 매도주문을 제출한 사실이 있음
ㅁ
의결안건 제19호 BN
S Asia Limited의 공매도 규제 위반 조치안 (원안의결)
-
BNS Asia Limited는 ’21.10.14. ~ ’22.9.6. 기간 중 소유하지 않은 ㈜셀리버리 등 6개사 주식 총 4,546주에 대한 무차입 공매도주문을 제출한 사실이 있음
* 의결안건 제8~17호 및 제312(2024)호는 비공개안건으로 안건은 비공개"
